GeoID,GeoIDTwo,GeoDisplay,Total,PercentBelow,PercentBelowError,TotalMale,PercentBelowMale,PercentBelowMaleError,TotalFemale,PercentBelowFemale,PercentBelowFemaleError
1400000US19013003001,19013003001,"Census Tract 30.01, Black Hawk County, Iowa",4533,13.2,4.9,2331,9.2,5.9,2202,17.3,7.1
1400000US19013003002,19013003002,"Census Tract 30.02, Black Hawk County, Iowa",3815,4.2,2.4,1975,3.4,2.5,1840,5.1,3.7
1400000US19015020100,19015020100,"Census Tract 201, Boone County, Iowa",2848,4,2,1552,3,1.9,1296,5.2,3.2
1400000US19015020200,19015020200,"Census Tract 202, Boone County, Iowa",3925,8,4.6,2022,5.6,4.8,1903,10.5,5
1400000US19015020300,19015020300,"Census Tract 203, Boone County, Iowa",6165,11.6,3.1,2781,9.7,3.8,3384,13.2,3.8
1400000US19015020400,19015020400,"Census Tract 204, Boone County, Iowa",2396,16.9,9.7,1151,12.3,6.7,1245,21.2,13.7
1400000US19015020500,19015020500,"Census Tract 205, Boone County, Iowa",4267,7.3,3.9,2136,7.7,5.1,2131,6.9,3.4
1400000US19015020600,19015020600,"Census Tract 206, Boone County, Iowa",1953,11.4,8.9,1080,14.4,10.4,873,7.8,6.9
1400000US19015020700,19015020700,"Census Tract 207, Boone County, Iowa",4052,5.6,2.1,2072,5.3,2.9,1980,5.9,2.5
1400000US19017004000,19017004000,"Census Tract 40, Bremer County, Iowa",1367,17.2,9.1,542,11.6,9,825,20.8,11.5
1400000US19017004100,19017004100,"Census Tract 41, Bremer County, Iowa",3564,8.4,5.2,1814,3.3,3.4,1750,13.6,9.6
1400000US19017004200,19017004200,"Census Tract 42, Bremer County, Iowa",3720,9.4,4.8,1794,6,4.6,1926,12.5,5.4
1400000US19017004300,19017004300,"Census Tract 43, Bremer County, Iowa",1880,3.4,2.1,1015,3.9,3.2,865,2.8,1.6
1400000US19017004400,19017004400,"Census Tract 44, Bremer County, Iowa",2890,8.6,4.8,1487,7.7,5.4,1403,9.6,5.5
1400000US19017004500,19017004500,"Census Tract 45, Bremer County, Iowa",2451,4.3,2,1306,2.7,1.9,1145,6.1,3.9
1400000US19017004600,19017004600,"Census Tract 46, Bremer County, Iowa",4809,4.7,2.3,2383,2.9,1.7,2426,6.5,3
1400000US19017004700,19017004700,"Census Tract 47, Bremer County, Iowa",2052,8.5,4,1008,6.6,3.6,1044,10.2,5
1400000US19019950100,19019950100,"Census Tract 9501, Buchanan County, Iowa",2637,17,6,1423,15.8,7.6,1214,18.5,5
1400000US19019950200,19019950200,"Census Tract 9502, Buchanan County, Iowa",3651,10.6,4.6,1882,8.6,3.9,1769,12.7,6
1400000US19019950300,19019950300,"Census Tract 9503, Buchanan County, Iowa",3479,8.6,3.3,1697,7.1,3.7,1782,10,4.2
1400000US19019950400,19019950400,"Census Tract 9504, Buchanan County, Iowa",2179,6.1,3.6,1002,2.3,2.9,1177,9.4,6
1400000US19019950500,19019950500,"Census Tract 9505, Buchanan County, Iowa",4190,19.5,8.8,1977,20.3,11.2,2213,18.8,7.5
1400000US19019950600,19019950600,"Census Tract 9506, Buchanan County, Iowa",4565,2.9,1.6,2305,2.1,1.4,2260,3.7,2.4
1400000US19021960100,19021960100,"Census Tract 9601, Buena Vista County, Iowa",1511,13.2,4.5,755,13.4,4.8,756,13.1,5.7
1400000US19021960200,19021960200,"Census Tract 9602, Buena Vista County, Iowa",1717,12.6,5.2,903,11.8,7.2,814,13.4,5.9
1400000US19021960300,19021960300,"Census Tract 9603, Buena Vista County, Iowa",1963,10.5,3.3,1010,8.4,3.7,953,12.7,4.2
1400000US19021960400,19021960400,"Census Tract 9604, Buena Vista County, Iowa",6326,19.8,5.9,3206,15.1,5.6,3120,24.6,7.2
1400000US19021960500,19021960500,"Census Tract 9605, Buena Vista County, Iowa",3900,7.7,3.2,1952,4.7,2.5,1948,10.8,5.7
1400000US19021960600,19021960600,"Census Tract 9606, Buena Vista County, Iowa",3536,6.4,2.5,1788,5.1,2.5,1748,7.8,3.1
1400000US19023070100,19023070100,"Census Tract 701, Butler County, Iowa",3326,5.9,2,1687,5.5,2.4,1639,6.2,3
1400000US19023070200,19023070200,"Census Tract 702, Butler County, Iowa",2051,16.7,6.7,1049,15.3,6,1002,18.2,8.4
1400000US19023070300,19023070300,"Census Tract 703, Butler County, Iowa",2647,15,4.6,1268,11,3.8,1379,18.6,5.7
1400000US19023070400,19023070400,"Census Tract 704, Butler County, Iowa",3624,10.3,3.8,1700,7.6,3.3,1924,12.6,5
1400000US19023070500,19023070500,"Census Tract 705, Butler County, Iowa",2988,6.1,2.4,1477,4.1,2.2,1511,8.1,3.1
1400000US19025950100,19025950100,"Census Tract 9501, Calhoun County, Iowa",2254,14.9,7.1,1101,14.2,7,1153,15.5,8.5
1400000US19025950200,19025950200,"Census Tract 9502, Calhoun County, Iowa",3179,14.8,4.9,1540,12.1,4.5,1639,17.3,6.1
1400000US19025950300,19025950300,"Census Tract 9503, Calhoun County, Iowa",1797,11.4,4.8,910,11.3,5.1,887,11.4,5.3
1400000US19025950400,19025950400,"Census Tract 9504, Calhoun County, Iowa",2118,13.3,6.8,986,10.6,6.9,1132,15.5,7.5
1400000US19027960100,19027960100,"Census Tract 9601, Carroll County, Iowa",3901,5.3,1.9,1926,4.8,1.8,1975,5.8,2.8
1400000US19027960200,19027960200,"Census Tract 9602, Carroll County, Iowa",2332,4.5,3.1,1208,3,2.8,1124,6.2,3.6
1400000US19027960300,19027960300,"Census Tract 9603, Carroll County, Iowa",6101,11.7,4,2977,9,4.4,3124,14.3,4.9
1400000US19027960400,19027960400,"Census Tract 9604, Carroll County, Iowa",3694,12.5,5.6,1609,11.1,5.5,2085,13.5,6.9
1400000US19027960500,19027960500,"Census Tract 9605, Carroll County, Iowa",1857,10.1,4,931,8.4,5.8,926,11.9,4.3
1400000US19027960600,19027960600,"Census Tract 9606, Carroll County, Iowa",2416,11.5,3.1,1214,10.3,4,1202,12.7,3.8
1400000US19029190100,19029190100,"Census Tract 1901, Cass County, Iowa",2639,9.4,7.3,1255,7,5.5,1384,11.5,9.2
1400000US19029190200,19029190200,"Census Tract 1902, Cass County, Iowa",2356,7.6,2.5,1242,6,2.6,1114,9.5,3.6
1400000US19029190300,19029190300,"Census Tract 1903, Cass County, Iowa",1577,16.9,4.2,811,15.3,4.2,766,18.5,5.3
1400000US19029190400,19029190400,"Census Tract 1904, Cass County, Iowa",3930,10.2,3.1,1861,8.4,3.7,2069,11.7,4.3
1400000US19029190500,19029190500,"Census Tract 1905, Cass County, Iowa",3119,20.6,6.1,1571,18,7.6,1548,23.3,7.3
1400000US19031450100,19031450100,"Census Tract 4501, Cedar County, Iowa",2805,10.5,4.7,1462,10,6,1343,11.1,4.7
1400000US19031450200,19031450200,"Census Tract 4502, Cedar County, Iowa",3585,6.7,3.1,1727,4.7,2.3,1858,8.5,4.3
1400000US19031450300,19031450300,"Census Tract 4503, Cedar County, Iowa",3345,10.9,8.4,1564,11.9,8.2,1781,10.1,9
1400000US19031450400,19031450400,"Census Tract 4504, Cedar County, Iowa",2937,12,3.4,1401,12.6,4.4,1536,11.5,3.9
1400000US19031450500,19031450500,"Census Tract 4505, Cedar County, Iowa",5527,4.5,2.6,2729,4.5,2.7,2798,4.5,2.9
1400000US19033950102,19033950102,"Census Tract 9501.02, Cerro Gordo County, Iowa",4431,17.9,6.6,2103,13.2,6.6,2328,22.2,8.9
1400000US19033950200,19033950200,"Census Tract 9502, Cerro Gordo County, Iowa",6339,21.4,5.8,2893,18.1,6.4,3446,24.1,6.4
1400000US19033950300,19033950300,"Census Tract 9503, Cerro Gordo County, Iowa",4672,25.4,7.3,2209,25,8,2463,25.8,8.7
1400000US19033950402,19033950402,"Census Tract 9504.02, Cerro Gordo County, Iowa",4089,7.4,3.3,2106,7.2,4.8,1983,7.6,3.3
1400000US19033950600,19033950600,"Census Tract 9506, Cerro Gordo County, Iowa",2183,7.1,5.1,1128,9,6.9,1055,5.2,3.6
1400000US19033950700,19033950700,"Census Tract 9507, Cerro Gordo County, Iowa",3747,11.7,5.5,1854,13.1,7,1893,10.2,5.2
1400000US19033950800,19033950800,"Census Tract 9508, Cerro Gordo County, Iowa",5071,16.1,5.4,2358,11.5,5.9,2713,20.1,7
1400000US19033950900,19033950900,"Census Tract 9509, Cerro Gordo County, Iowa",1780,1.2,1.3,898,0.4,0.9,882,1.9,2.1
1400000US19033951000,19033951000,"Census Tract 9510, Cerro Gordo County, Iowa",2800,9.1,3.2,1459,6.9,2.7,1341,11.5,4.2
1400000US19033951400,19033951400,"Census Tract 9514, Cerro Gordo County, Iowa",3702,8.2,3.6,1831,9.9,5.4,1871,6.5,4.2
1400000US19033951600,19033951600,"Census Tract 9516, Cerro Gordo County, Iowa",4198,13.7,5.3,2005,10.6,5.1,2193,16.5,6.9
1400000US19035080100,19035080100,"Census Tract 801, Cherokee County, Iowa",5205,6.1,3.1,2563,4.2,2.9,2642,7.9,3.9
1400000US19035080200,19035080200,"Census Tract 802, Cherokee County, Iowa",2285,4.2,1.5,1199,3.8,1.9,1086,4.7,2.6
1400000US19035080300,19035080300,"Census Tract 803, Cherokee County, Iowa",1781,6.9,4,873,5,3.3,908,8.6,5
1400000US19035080400,19035080400,"Census Tract 804, Cherokee County, Iowa",2346,11,3.7,1199,9,3.9,1147,13.1,5.4
1400000US19037070100,19037070100,"Census Tract 701, Chickasaw County, Iowa",3524,9.4,2.9,1932,7.7,3,1592,11.4,3.6
1400000US19037070200,19037070200,"Census Tract 702, Chickasaw County, Iowa",2568,13.8,7.2,1234,10.1,5.7,1334,17.2,8.9
1400000US19037070300,19037070300,"Census Tract 703, Chickasaw County, Iowa",2594,8.1,3.2,1305,5.9,2.8,1289,10.2,4.2
1400000US19037070400,19037070400,"Census Tract 704, Chickasaw County, Iowa",3527,9.7,5.4,1696,10.7,5.9,1831,8.8,5.4
1400000US19039960100,19039960100,"Census Tract 9601, Clarke County, Iowa",4957,13.9,6.1,2525,10.1,6.4,2432,17.7,7.5
1400000US19039960200,19039960200,"Census Tract 9602, Clarke County, Iowa",1869,6.3,3.6,925,3.6,2.8,944,9,5.6
1400000US19039960300,19039960300,"Census Tract 9603, Clarke County, Iowa",2209,14.3,6.3,1080,13.7,8.8,1129,14.9,5.3
1400000US19041080100,19041080100,"Census Tract 801, Clay County, Iowa",2030,8.9,3.5,1005,6.6,3.5,1025,11.1,4.5
1400000US19041080200,19041080200,"Census Tract 802, Clay County, Iowa",5286,10.9,3.9,2624,12.7,5.4,2662,9.1,3.5
1400000US19041080300,19041080300,"Census Tract 803, Clay County, Iowa",6200,9.6,5,2884,7.1,4.6,3316,11.8,6.2
1400000US19041080400,19041080400,"Census Tract 804, Clay County, Iowa",2846,11.7,4.7,1457,8.7,3.9,1389,14.8,6
1400000US19043070100,19043070100,"Census Tract 701, Clayton County, Iowa",3135,10.2,3.1,1637,9.8,3.5,1498,10.6,3.7
1400000US19043070200,19043070200,"Census Tract 702, Clayton County, Iowa",3469,16.6,5.7,1649,12.1,4.7,1820,20.7,7.8
1400000US19043070300,19043070300,"Census Tract 703, Clayton County, Iowa",3277,15.5,4.8,1698,15.1,5.3,1579,16,5.5
1400000US19043070400,19043070400,"Census Tract 704, Clayton County, Iowa",2289,10.7,5.8,1089,9,6.9,1200,12.3,5.8
1400000US19043070500,19043070500,"Census Tract 705, Clayton County, Iowa",2249,13.4,5.1,1195,13.5,5.7,1054,13.3,5.2
1400000US19043070600,19043070600,"Census Tract 706, Clayton County, Iowa",3260,9.9,2.7,1636,7.1,2.8,1624,12.7,3.6
1400000US19045000100,19045000100,"Census Tract 1, Clinton County, Iowa",2987,37.2,9,1326,28.9,10,1661,43.9,9.9
1400000US19045000200,19045000200,"Census Tract 2, Clinton County, Iowa",2252,24,8.3,1138,25,9.1,1114,23.1,9.3
1400000US19045000300,19045000300,"Census Tract 3, Clinton County, Iowa",4838,18.7,6.6,2435,16.1,8.9,2403,21.3,7.5
1400000US19045000400,19045000400,"Census Tract 4, Clinton County, Iowa",3629,8.8,3.7,1873,10.8,6.9,1756,6.6,2.7
1400000US19045000500,19045000500,"Census Tract 5, Clinton County, Iowa",4709,12.9,4.1,2210,13.2,5.6,2499,12.6,4.2
1400000US19045000600,19045000600,"Census Tract 6, Clinton County, Iowa",3706,20,7.4,1860,19.1,7.9,1846,21,8.2
1400000US19045000700,19045000700,"Census Tract 7, Clinton County, Iowa",3893,7.9,3.2,1927,9.4,4.6,1966,6.4,3.5
1400000US19045000800,19045000800,"Census Tract 8, Clinton County, Iowa",5301,11.2,5.4,2555,13.8,6.6,2746,8.8,5.1
1400000US19045000900,19045000900,"Census Tract 9, Clinton County, Iowa",6548,9.2,4.3,3091,6.3,3.9,3457,11.8,6.3
1400000US19045001000,19045001000,"Census Tract 10, Clinton County, Iowa",3868,9.1,3.8,1992,8.9,4,1876,9.3,4.2
1400000US19045001100,19045001100,"Census Tract 11, Clinton County, Iowa",2475,8.5,3.6,1221,8.3,4.2,1254,8.8,3.7
1400000US19045001200,19045001200,"Census Tract 12, Clinton County, Iowa",4101,2.6,1.1,2227,0.9,0.6,1874,4.7,2.3
1400000US19047070100,19047070100,"Census Tract 701, Crawford County, Iowa",1971,11.1,3.3,974,7.3,3.1,997,14.7,4.5
1400000US19047070200,19047070200,"Census Tract 702, Crawford County, Iowa",2133,14.3,4.4,1059,11.5,4.3,1074,17.1,6
1400000US19047070300,19047070300,"Census Tract 703, Crawford County, Iowa",2470,13.6,6.2,1244,12.5,7,1226,14.6,6.2
1400000US19047070400,19047070400,"Census Tract 704, Crawford County, Iowa",8251,17.9,5.9,4236,18.2,7.4,4015,17.5,6.5
1400000US19047070500,19047070500,"Census Tract 705, Crawford County, Iowa",1954,8.4,4.6,966,7.9,4.5,988,9,6.2
1400000US19049050100,19049050100,"Census Tract 501, Dallas County, Iowa",4399,5.2,2.4,2285,4.4,2.2,2114,6.1,3.3
1400000US19049050200,19049050200,"Census Tract 502, Dallas County, Iowa",3685,5.7,3.6,1895,6.2,4.1,1790,5.2,3.6
1400000US19049050300,19049050300,"Census Tract 503, Dallas County, Iowa",4782,17,6,2494,16,7.4,2288,18.1,6.4
1400000US19049050400,19049050400,"Census Tract 504, Dallas County, Iowa",2968,19.7,7.9,1525,20.6,8.6,1443,18.7,8.4
1400000US19049050500,19049050500,"Census Tract 505, Dallas County, Iowa",2071,10.6,5.9,1045,8.6,4.7,1026,12.6,7.5
1400000US19049050600,19049050600,"Census Tract 506, Dallas County, Iowa",2933,8.6,3.8,1452,7,2.7,1481,10.1,5.2
1400000US19049050700,19049050700,"Census Tract 507, Dallas County, Iowa",4168,6.9,2.5,2020,7.1,4.4,2148,6.8,3.4
1400000US19049050803,19049050803,"Census Tract 508.03, Dallas County, Iowa",5987,2.3,2.3,2697,3.1,3,3290,1.6,1.9
1400000US19049050805,19049050805,"Census Tract 508.05, Dallas County, Iowa",5715,1.4,1.6,3059,1.2,1.5,2656,1.5,1.9
1400000US19049050807,19049050807,"Census Tract 508.07, Dallas County, Iowa",5980,2.5,2.4,2605,0,0.9,3375,4.5,4.2
1400000US19049050809,19049050809,"Census Tract 508.09, Dallas County, Iowa",6157,15.4,10,3102,15.1,12.5,3055,15.8,8.7
1400000US19049050811,19049050811,"Census Tract 508.11, Dallas County, Iowa",8545,4.7,2.3,4152,2.7,1.9,4393,6.6,4.4
1400000US19049050812,19049050812,"Census Tract 508.12, Dallas County, Iowa",1870,3.3,4.4,905,3.9,4.5,965,2.7,4.4
1400000US19049050901,19049050901,"Census Tract 509.01, Dallas County, Iowa",3176,2.1,1.6,1502,0.5,0.9,1674,3.6,2.9
1400000US19049050902,19049050902,"Census Tract 509.02, Dallas County, Iowa",3985,4.6,2.1,1908,2.7,1.5,2077,6.4,3.9
1400000US19051080100,19051080100,"Census Tract 801, Davis County, Iowa",3905,11,4.1,1998,9.3,4.8,1907,12.8,4.8
1400000US19051080200,19051080200,"Census Tract 802, Davis County, Iowa",4636,22,8,2270,18.4,6.7,2366,25.5,9.9
1400000US19053960100,19053960100,"Census Tract 9601, Decatur County, Iowa",2421,13.8,4.8,1300,13.8,5.9,1121,13.7,4.6
1400000US19053960200,19053960200,"Census Tract 9602, Decatur County, Iowa",3218,20.1,4.7,1442,19.7,6.3,1776,20.4,5
1400000US19053960300,19053960300,"Census Tract 9603, Decatur County, Iowa",1966,27.1,6.4,974,25.3,7.4,992,28.9,7.6
1400000US19055950100,19055950100,"Census Tract 9501, Delaware County, Iowa",3823,10.2,3.4,1929,8.1,3.6,1894,12.3,4.7
1400000US19055950200,19055950200,"Census Tract 9502, Delaware County, Iowa",3063,5,2.4,1517,4.6,3.4,1546,5.4,2.2
1400000US19055950300,19055950300,"Census Tract 9503, Delaware County, Iowa",4991,8.5,3.6,2472,5.5,3.6,2519,11.5,5.7
1400000US19055950400,19055950400,"Census Tract 9504, Delaware County, Iowa",5524,7,3.3,2770,8.4,4.6,2754,5.6,2.8
1400000US19057000200,19057000200,"Census Tract 2, Des Moines County, Iowa",2928,14.8,6.1,1519,11.1,6.3,1409,18.8,7.8
1400000US19057000300,19057000300,"Census Tract 3, Des Moines County, Iowa",3519,19.2,5.7,1536,10.1,4.1,1983,26.2,8.3
1400000US19057000400,19057000400,"Census Tract 4, Des Moines County, Iowa",4589,38.2,7.9,2036,38.6,10.2,2553,37.9,8.2
1400000US19057000500,19057000500,"Census Tract 5, Des Moines County, Iowa",4327,11.7,6.3,2007,6.4,5.3,2320,16.3,7.8
1400000US19057000600,19057000600,"Census Tract 6, Des Moines County, Iowa",4201,12,5.7,2057,10.2,5.7,2144,13.8,6.5
1400000US19057000700,19057000700,"Census Tract 7, Des Moines County, Iowa",2867,12.6,6,1410,11.9,7,1457,13.3,6.7
1400000US19057000800,19057000800,"Census Tract 8, Des Moines County, Iowa",3003,16.8,5.6,1351,11.1,5.4,1652,21.5,6.7
1400000US19057000900,19057000900,"Census Tract 9, Des Moines County, Iowa",3555,5.1,2.6,1710,4.1,2.3,1845,6,3.5
1400000US19057001000,19057001000,"Census Tract 10, Des Moines County, Iowa",4139,11.4,5.5,2179,12.3,7.5,1960,10.5,4.1
1400000US19057001100,19057001100,"Census Tract 11, Des Moines County, Iowa",3860,6.8,4.2,2058,6.2,4,1802,7.4,4.7
1400000US19057001200,19057001200,"Census Tract 12, Des Moines County, Iowa",2511,2.7,1.5,1263,1.8,1.3,1248,3.7,2.3
1400000US19059450200,19059450200,"Census Tract 4502, Dickinson County, Iowa",2080,3.6,2.2,989,2,2,1091,5,3
1400000US19059450500,19059450500,"Census Tract 4505, Dickinson County, Iowa",5013,10.6,6.7,2496,11.6,7.8,2517,9.6,6.8
1400000US19059450800,19059450800,"Census Tract 4508, Dickinson County, Iowa",3306,11.6,4.1,1648,8.4,3.4,1658,14.7,5.7
1400000US19059451000,19059451000,"Census Tract 4510, Dickinson County, Iowa",2472,4.4,2.8,1285,1.3,1.2,1187,7.7,5.6
1400000US19059451100,19059451100,"Census Tract 4511, Dickinson County, Iowa",3600,5.5,2.5,1804,6,3.2,1796,5,2.1
1400000US19061000100,19061000100,"Census Tract 1, Dubuque County, Iowa",2717,35.8,9.2,1472,25.1,8.4,1245,48.4,12
